what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.server.core,1.1.3.v20090115,org.eclipse.jst.server.core,1511358718582
opened,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511358718584
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.104.v20081006,org.eclipse.jst.server.tomcat.core,1511358718594
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511358718602
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1511358720896
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.101.v20080620,org.eclipse.jst.server.tomcat.ui,1511358721185
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358721779
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511358723650
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358724981
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358728556
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511358728618
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358729564
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358729600
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358731365
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511358731411
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358732787
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358732821
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358734447
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511358734499
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358735451
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358735486
closed,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511358735572
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358735586
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511358735609
closed,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358735617
